net,length_um
_09302_,242.96µm
net1264,242.935µm
_04934_,242.8µm
net2028,242.49µm
net329,242.22µm
_07152_,242.18µm
net603,241.97µm
net1924,241.96µm
u_ibex_top.gen_regfile_ff.register_file_i.raddr_b_i\[2\],241.64µm
_07067_,241.625µm
net1451,241.56µm
net2283,241.34µm
net2224,241.25µm
net835,241.12µm
_02257_,241.06µm
net1178,241.055µm
_06836_,241µm
net1116,240.94µm
_08379_,240.86µm
net1637,240.78µm
net20,240.775µm
net1542,240.76µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_addr\[9\],240.72µm
clknet_5_1__leaf_u_ibex_top.clk,240.68µm
net1709,240.64µm
net1114,240.62µm
net358,240.545µm
net763,240.16µm
clknet_5_9__leaf_u_ibex_top.clk,239.96µm
net803,239.91µm
net745,239.9µm
clknet_5_21__leaf_u_ibex_top.clk,239.7µm
net1831,239.62µm
net2153,239.62µm
net1356,239.6µm
_09795_,239.52µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[62\],239.04µm
u_ibex_top.crash_dump_o\[68\],238.98µm
_09698_,238.82µm
_06528_,238.8µm
net776,238.78µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[59\],238.655µm
net2312,238.655µm
clknet_5_2__leaf_u_ibex_top.clk,238.62µm
clknet_5_12__leaf_u_ibex_top.clk,238.47µm
net1842,238.42µm
net1126,238.38µm
_02159_,238.31µm
net1338,238.285µm
net1032,238.075µm
net1502,237.86µm
net69,237.5µm
net362,237.3µm
_07213_,237.19µm
net761,237.07µm
net1122,237.04µm
net1181,236.9µm
_08836_,236.84µm
net1373,236.79µm
net1914,236.78µm
_06937_,236.68µm
net1361,236.52µm
net869,236.48µm
net770,236.38µm
net2183,236.315µm
net1250,236.3µm
_07852_,236.22µm
net1840,236.17µm
net2292,236.11µm
_07631_,235.88µm
u_ibex_top.crash_dump_o\[65\],235.82µm
net1933,235.64µm
net1357,235.5µm
_04832_,235.32µm
net1593,235.3µm
net1849,235.23µm
_08884_,235µm
net1616,234.97µm
net1592,234.735µm
net15,234.305µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_addr\[7\],234.1µm
net833,233.87µm
_06181_,233.57µm
_03131_,233.405µm
net935,233.13µm
net1740,232.82µm
_07114_,232.57µm
net1943,232.46µm
u_ibex_top.crash_dump_o\[39\],232.42µm
net988,232.08µm
_07571_,232.065µm
_07832_,231.76µm
net2119,231.76µm
net26,231.7µm
net573,231.48µm
_07322_,231.42µm
_09605_,231.36µm
net1219,231.06µm
net994,231.04µm
_07702_,230.98µm
net915,230.94µm
net2220,230.94µm
net368,230.76µm
_02572_,230.71µm
_07323_,230.48µm
_03907_,230.46µm
net1748,230.44µm
net1783,230.44µm
clknet_5_24__leaf_u_ibex_top.clk,230.34µm
net1155,230.32µm
net83,230.26µm
_03143_,230.19µm
net400,230.1µm
net587,229.89µm
net1686,229.8µm
net2175,229.75µm
_05678_,229.54µm
net1473,229.48µm
net576,229.38µm
net392,229.2µm
net2054,229.08µm
net781,229.07µm
net2159,228.835µm
net308,228.68µm
clknet_5_15__leaf_u_ibex_top.clk,228.6µm
net1206,228.53µm
_02434_,228.51µm
_06540_,228.5µm
net1309,228.46µm
_03919_,228.325µm
net288,228.26µm
net12,227.73µm
net1154,227.64µm
_05487_,227.45µm
_08304_,227.44µm
net1695,227.295µm
_07270_,227.26µm
net1149,227.235µm
net950,227.125µm
net1130,227.055µm
u_ibex_top.crash_dump_o\[67\],227.02µm
net388,227.02µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[3\],226.995µm
_04333_,226.91µm
net635,226.9µm
_07257_,226.87µm
_02073_,226.82µm
clknet_5_8__leaf_u_ibex_top.clk,226.78µm
net1941,226.5µm
_07041_,226.45µm
_08518_,226.41µm
net451,226.31µm
net755,226.19µm
net1662,225.96µm
net1600,225.45µm
_07084_,225.36µm
clknet_5_27__leaf_u_ibex_top.clk,225.2µm
clknet_5_18__leaf_u_ibex_top.clk,225.11µm
net380,225.1µm
net1322,224.95µm
_07118_,224.915µm
net1337,224.915µm
net1110,224.66µm
net1837,224.36µm
net1234,224.26µm
net780,224.16µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[34\],224.04µm
net1307,223.9µm
net1316,223.77µm
_04903_,223.47µm
net430,223.45µm
net774,223.37µm
net40,223.26µm
_08155_,222.96µm
net1683,222.85µm
net1884,222.6µm
net676,222.57µm
net1514,222.41µm
u_ibex_top.crash_dump_o\[66\],222.38µm
net854,222.38µm
net326,222.26µm
net1516,222.195µm
_08868_,221.74µm
net1335,221.51µm
net960,221.5µm
_07165_,221.26µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[30\],221.03µm
net1208,221µm
_09504_,220.94µm
net416,220.91µm
net1908,220.88µm
net1744,220.81µm
net1633,220.67µm
_01983_,220.62µm
net291,220.48µm
_06844_,220.3µm
net2134,220.26µm
net452,219.83µm
net841,219.83µm
net1049,219.805µm
net68,219.74µm
_06541_,219.6µm
net1883,219.5µm
net404,219.345µm
net1720,219.16µm
net67,219.09µm
net1519,219.07µm
net737,218.795µm
net1627,218.745µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_depc_o\[2\],218.68µm
_07228_,218.58µm
net1510,218.48µm
_04231_,218.45µm
net1859,218.33µm
net2238,218.205µm
_02562_,218.16µm
net1319,218.15µm
_04495_,218.04µm
clknet_5_25__leaf_u_ibex_top.clk,217.82µm
net2439,217.68µm
net1905,217.46µm
_06770_,217.42µm
net1790,217.29µm
_06445_,217.26µm
net1261,217.2µm
net1679,217.02µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[32\],216.94µm
net395,216.88µm
net415,216.68µm
_07924_,216.47µm
net1712,216.16µm
net1105,216.105µm
_05580_,215.91µm
net1386,215.86µm
clknet_5_30__leaf_u_ibex_top.clk,215.7µm
net1817,215.64µm
clknet_5_29__leaf_u_ibex_top.clk,215.52µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[2\],215.405µm
net1123,215.25µm
net1244,215.18µm
net689,215.13µm
net1133,215µm
net1929,214.895µm
net1810,214.63µm
_05953_,214.58µm
net647,214.3µm
net1364,214.21µm
net840,214.15µm
_06643_,214.12µm
net70,213.68µm
_05277_,213.6µm
net991,213.58µm
net966,213.505µm
_04560_,213.18µm
_08281_,212.92µm
_08396_,212.84µm
net1018,212.84µm
net2265,212.84µm
net957,212.69µm
_09697_,212.52µm
net1345,212.425µm
net846,212.32µm
net863,211.98µm
net1107,211.845µm
net1525,211.8µm
_07648_,211.78µm
net405,211.76µm
net1223,211.64µm
net81,211.58µm
net1235,211.49µm
_04342_,211.43µm
net1661,211.195µm
net874,211.12µm
_06949_,211.01µm
_09300_,210.98µm
net2140,210.94µm
net2313,210.74µm
net724,210.66µm
net2190,210.6µm
clknet_5_26__leaf_u_ibex_top.clk,210.58µm
net1530,210.56µm
_07541_,210.48µm
net687,210.4µm
_03255_,210.35µm
_04421_,210.15µm
net1397,209.965µm
net1480,209.79µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_depc_o\[7\],209.74µm
net1663,209.69µm
_07036_,209.62µm
net1998,209.47µm
net2002,209.3µm
_07108_,209.22µm
net1598,209.16µm
_09601_,209.04µm
net2000,208.84µm
net1192,208.82µm
_06038_,208.71µm
_03336_,208.7µm
_02072_,208.45µm
_07560_,208.3µm
net1742,208.21µm
_08419_,208.12µm
net2132,207.95µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_fetch_err_i,207.7µm
net1536,207.68µm
_07173_,207.64µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_addr\[11\],207.58µm
_06437_,207.56µm
net1681,207.48µm
net791,207.44µm
_07685_,207.2µm
net1050,207.19µm
net1531,206.775µm
net982,206.66µm
net668,206.63µm
_02864_,206.6µm
net2117,206.56µm
net1870,206.29µm
net577,206.06µm
net772,206.04µm
_07853_,205.76µm
net800,205.7µm
_06672_,205.66µm
net1447,205.66µm
net1652,205.56µm
net744,205.37µm
net600,205.28µm
net598,205µm
net1252,204.53µm
net980,204.195µm
u_ibex_top.gen_regfile_ff.register_file_i.raddr_b_i\[3\],204.14µm
net2438,203.92µm
net599,203.9µm
net665,203.855µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_addr\[10\],203.85µm
net1961,203.8µm
_08740_,203.64µm
net1286,203.635µm
net812,203.63µm
net2177,203.15µm
net1760,202.89µm
_05176_,202.64µm
_03994_,202.5µm
_06527_,202.5µm
net1304,202.49µm
net2290,202.24µm
net1824,202.1µm
net1517,202.06µm
net2139,202.03µm
net1833,201.86µm
net2197,201.85µm
net1815,201.7µm
net805,201.63µm
net228,201.6µm
net1459,201.455µm
u_ibex_top.u_ibex_core.cs_registers_i.priv_lvl_q\[1\],201.2µm
net1520,201.04µm
_08318_,201.03µm
_05857_,200.96µm
_06591_,200.84µm
net1369,200.76µm
net1432,200.38µm
net19,200.335µm
net2468,200.31µm
net1856,200.14µm
net444,200.045µm
_09301_,199.96µm
net1721,199.94µm
_04240_,199.68µm
net114,199.52µm
net218,199.36µm
net678,199.36µm
net1704,199.14µm
net1614,199.1µm
net333,198.715µm
net1557,198.66µm
net2394,198.6µm
_08867_,198.58µm
_06125_,198.55µm
_08975_,198.55µm
_02432_,198.52µm
net1106,198.44µm
net1950,198.16µm
net1750,198.05µm
net1402,197.915µm
net1696,197.87µm
_08427_,197.82µm
net1521,197.48µm
net338,197.425µm
_07946_,197.33µm
net1792,197.21µm
net18,196.98µm
net764,196.82µm
_07400_,196.6µm
net1601,196.59µm
net1639,196.58µm
net1460,196.56µm
_07779_,196.535µm
_03908_,196.52µm
net1692,196.34µm
_09087_,196.16µm
net839,196.16µm
net2146,196.12µm
net1653,196.02µm
net1333,195.885µm
_08156_,195.88µm
_07559_,195.8µm
net898,195.76µm
net1111,195.755µm
_06788_,195.74µm
net979,195.44µm
net842,195.34µm
_09502_,195.26µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_mtvec_o\[8\],195.14µm
_07281_,194.915µm
net2561,194.76µm
net2378,194.71µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_mtvec_o\[14\],194.58µm
net108,194.38µm
_08332_,194.28µm
net1632,194.18µm
net2232,194.13µm
_06593_,193.96µm
u_ibex_top.crash_dump_o\[33\],193.885µm
_07537_,193.875µm
net1210,193.68µm
_04398_,193.66µm
net799,193.66µm
net1622,193.56µm
clknet_5_0__leaf_u_ibex_top.clk,193.54µm
net1253,193.33µm
net2501,193.32µm
_06607_,193.31µm
_04503_,193.28µm
_05767_,192.96µm
net1738,192.81µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[44\],192.74µm
_03133_,192.55µm
net1881,192.5µm
_06689_,192.47µm
net1170,192.335µm
_03954_,192.3µm
net1246,192.12µm
net889,192.1µm
net1529,192.085µm
net762,192.08µm
net856,192µm
_02076_,191.88µm
net11,191.8µm
net353,191.79µm
net906,191.72µm
net748,191.57µm
net1972,191.35µm
net1827,191.22µm
clknet_5_10__leaf_u_ibex_top.clk,190.94µm
net909,190.84µm
net2626,190.69µm
net976,190.675µm
net1935,190.24µm
net1535,190.14µm
_06961_,190.03µm
net1501,190µm
_07068_,189.97µm
net1148,189.84µm
net1541,189.82µm
_07093_,189.75µm
net6,189.69µm
net2122,189.61µm
_06912_,189.53µm
net1711,189.44µm
_03966_,189.37µm
clknet_leaf_203_u_ibex_top.clk,189.36µm
net1946,189.32µm
_05368_,189.24µm
net2398,189.2µm
clknet_5_31__leaf_u_ibex_top.clk,189.14µm
_08242_,189.08µm
_02332_,188.82µm
net1124,188.7µm
net758,188.69µm
net1651,188.53µm
_08885_,188.4µm
net636,188.2µm
net2666,188.12µm
net783,188.1µm
net1786,187.98µm
_04077_,187.865µm
net2196,187.69µm
net891,187.64µm
_04007_,187.605µm
net1923,187.58µm
net612,187.4µm
net1103,187.09µm
_02162_,186.94µm
_07947_,186.6µm
net110,186.52µm
net1433,186.48µm
net1329,186.46µm
net180,186.42µm
net752,186.36µm
net1707,186.14µm
_02518_,186.06µm
net1979,185.97µm
net1631,185.915µm
net2194,185.86µm
_07256_,185.78µm
net327,185.78µm
net385,185.66µm
net1570,185.64µm
_04884_,185.44µm
net1528,185.41µm
net867,185.38µm
net1959,185.37µm
net1387,185.02µm
u_ibex_top.u_ibex_core.load_store_unit_i.rdata_offset_q\[0\],184.9µm
net1739,184.68µm
net1705,184.59µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_depc_o\[6\],184.51µm
net66,184.48µm
_04263_,184.44µm
net374,184.42µm
net1137,184.4µm
net48,184.24µm
net822,184.06µm
net1885,183.97µm
net555,183.7µm
net1104,183.68µm
_07295_,183.67µm
net111,183.64µm
net1168,183.43µm
net1877,183.4µm
_06522_,183.37µm
net1749,183.36µm
net92,183.34µm
net354,183.32µm
_07193_,182.96µm
net1350,182.9µm
_02977_,182.675µm
net461,182.64µm
net306,182.57µm
net1166,182.56µm
net1643,182.44µm
_04262_,182.34µm
net1191,182.34µm
_08240_,182.19µm
net1276,182.16µm
net1994,182.1µm
_05116_,182.06µm
net1015,181.94µm
_08872_,181.84µm
net1177,181.825µm
net912,181.55µm
net815,181.5µm
net22,181.475µm
net62,181.38µm
net2305,181.32µm
net2019,181.29µm
net1439,181.21µm
_06989_,181.08µm
_03736_,180.95µm
net1384,180.92µm
net96,180.9µm
_06923_,180.88µm
_07650_,180.86µm
_07422_,180.76µm
_04825_,180.42µm
_07269_,180.31µm
net1507,180.24µm
net1213,180.21µm
net905,180.2µm
net1092,180.16µm
_05250_,179.84µm
net753,179.82µm
_05455_,179.72µm
net2016,179.72µm
_06783_,179.38µm
net743,179.38µm
net2181,179.33µm
u_ibex_top.crash_dump_o\[151\],179.275µm
_08144_,179.06µm
_03125_,178.975µm
_05648_,178.85µm
net1232,178.82µm
net742,178.72µm
net1839,178.68µm
net1508,178.66µm
u_ibex_top.u_ibex_core.cs_registers_i.priv_lvl_q\[0\],178.58µm
net1977,178.52µm
net2069,178.52µm
u_ibex_top.u_ibex_core.load_store_unit_i.rdata_offset_q\[1\],178.49µm
net1423,178.4µm
net1265,178.315µm
_06645_,178.28µm
net1218,178.22µm
net17,178.215µm
net102,178.08µm
net104,178.06µm
net103,177.98µm
net429,177.9µm
_08429_,177.84µm
net106,177.78µm
net472,177.74µm
net1127,177.63µm
_07913_,177.53µm
net726,177.39µm
net1553,177.23µm
_07244_,177.1µm
_05300_,177.02µm
_06515_,176.975µm
_07398_,176.64µm
net578,176.6µm
net2319,176.6µm
_06610_,176.57µm
net754,176.54µm
net834,176.38µm
net866,176.24µm
net1970,176.24µm
_05374_,176.12µm
_09084_,176.1µm
net2105,176.08µm
net1117,176.02µm
_08217_,175.96µm
net1865,175.89µm
net671,175.77µm
net2124,175.54µm
net1659,175.41µm
net1789,175.38µm
net2120,175.32µm
_05744_,175.3µm
_06997_,175.24µm
net393,175.18µm
net997,175.03µm
net1503,175.03µm
_07334_,174.98µm
net1782,174.96µm
_08583_,174.89µm
_03267_,174.795µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_compressed_i\[15\],174.78µm
_07154_,174.71µm
net2021,174.7µm
_07255_,174.68µm
net2683,174.54µm
_07315_,174.47µm
net1538,174.47µm
net1259,174.46µm
net10,174.445µm
net408,174.36µm
net1656,174.36µm
_01979_,174.26µm
net2200,174.2µm
net2286,174.18µm
clknet_5_23__leaf_u_ibex_top.clk,174.12µm
net883,174.09µm
net1366,174.08µm
net87,174.02µm
net2158,174.02µm
net959,173.97µm
_06784_,173.92µm
_07811_,173.91µm
net1522,173.74µm
net43,173.66µm
net406,173.65µm
_06954_,173.64µm
net2490,173.5µm
net1882,173.44µm
_06590_,173.4µm
net1268,173.285µm
net1615,173.28µm
_06935_,173.205µm
net24,173.1µm
net793,173.05µm
net1880,173.02µm
u_ibex_top.crash_dump_o\[64\],172.98µm
net390,172.66µm
u_ibex_top.crash_dump_o\[150\],172.575µm
net2226,172.56µm
net1343,172.49µm
net1189,172.4µm
net1198,172.36µm
net1607,172.36µm
net1100,172.33µm
net1889,172.29µm
net1448,172.26µm
_05849_,172.24µm
net445,172.22µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_fetch_err_plus2_i,172.2µm
net1164,172.04µm
net1132,171.98µm
_05029_,171.8µm
net98,171.8µm
_04490_,171.62µm
_05090_,171.58µm
net2209,171.56µm
u_ibex_top.u_ibex_core.load_store_unit_i.data_type_q\[2\],171.46µm
_07396_,171.4µm
_06787_,171.31µm
net379,171.2µm
net286,171.02µm
net567,170.86µm
net1986,170.72µm
net995,170.71µm
net2287,170.71µm
net1078,170.615µm
_07236_,170.46µm
net2070,170.23µm
u_ibex_top.u_ibex_core.load_store_unit_i.data_type_q\[1\],170.18µm
net1440,170.055µm
net264,170.02µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_depc_o\[24\],169.96µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[30\],169.925µm
_07922_,169.92µm
_06917_,169.9µm
_07629_,169.86µm
_04657_,169.68µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[6\],169.64µm
_07014_,169.63µm
_04967_,169.56µm
net1016,169.56µm
net2327,169.56µm
net2240,169.55µm
_06631_,169.5µm
net1835,169.5µm
net682,169.22µm
_06993_,169.2µm
_07117_,169.13µm
net601,169.12µm
net1420,169.09µm
net903,169.06µm
_07053_,169µm
net1486,168.92µm
net1442,168.9µm
net450,168.8µm
_04966_,168.78µm
net1563,168.76µm
net65,168.74µm
net1500,168.62µm
net293,168.52µm
_08747_,168.5µm
_06684_,168.46µm
_08732_,168.46µm
_03939_,168.3µm
net1323,168.24µm
net1524,168.24µm
net542,168.18µm
net1504,168.02µm
net1288,167.9µm
net1702,167.76µm
_08531_,167.73µm
net1641,167.6µm
net1465,167.415µm
net765,167.4µm
net474,167.36µm
_03099_,167.34µm
_03738_,167.32µm
net401,167.12µm
_04905_,166.92µm
net224,166.9µm
net1561,166.8µm
_03094_,166.45µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_busy\[1\],166.36µm
net1864,166.18µm
_02421_,166.04µm
_05709_,165.99µm
net624,165.96µm
net1454,165.75µm
_04368_,165.71µm
net44,165.64µm
net403,165.55µm
net1013,165.52µm
_06913_,165.51µm
net321,165.5µm
_07191_,165.47µm
net2154,165.22µm
u_ibex_top.crash_dump_o\[7\],165.15µm
_03971_,165.065µm
net1785,165µm
_06246_,164.995µm
_03118_,164.96µm
_07268_,164.92µm
_05144_,164.88µm
net887,164.88µm
net1320,164.87µm
_07329_,164.84µm
net4,164.78µm
net585,164.64µm
_04076_,164.615µm
net1912,164.45µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_depc_o\[4\],164.44µm
net974,164.44µm
_07555_,164.26µm
_08326_,164.25µm
_07282_,164.04µm
net655,164.01µm
net377,163.98µm
net1821,163.66µm
_03007_,163.64µm
_07248_,163.56µm
net2099,163.56µm
_03127_,163.53µm
_06393_,163.5µm
_03968_,163.45µm
net1483,163.335µm
net1975,163.23µm
_04679_,163.19µm
net376,163.15µm
net2437,163.15µm
net1630,163.08µm
_04663_,163.065µm
net1321,163.065µm
net1069,163.06µm
net1746,163.055µm
_04256_,162.99µm
_07280_,162.94µm
_02146_,162.93µm
_07187_,162.84µm
net1247,162.82µm
net1201,162.8µm
_08977_,162.78µm
_02975_,162.74µm
_02243_,162.72µm
_09785_,162.59µm
net1331,162.46µm
clknet_leaf_197_u_ibex_top.clk,162.4µm
net1625,162.36µm
_08694_,162.34µm
_08582_,162.22µm
_08584_,162.14µm
net1582,162.14µm
_05515_,161.96µm
net1693,161.925µm
net1311,161.87µm
_07773_,161.72µm
_04319_,161.65µm
net2061,161.6µm
net2272,161.5µm
_06343_,161.42µm
net1634,161.36µm
_07395_,161.31µm
net1300,161.3µm
_06412_,161.25µm
net2023,160.96µm
_06697_,160.95µm
_07528_,160.91µm
_02074_,160.72µm
_03740_,160.69µm
net562,160.66µm
net1714,160.64µm
_07220_,160.59µm
_04260_,160.56µm
net2289,160.55µm
net2147,160.52µm
_03388_,160.39µm
net334,160.33µm
net1407,160.33µm
net1134,160.27µm
net604,160.16µm
net1909,160.02µm
net2230,159.86µm
net2052,159.83µm
net2273,159.56µm
net1258,159.53µm
net1113,159.51µm
_08125_,159.42µm
net1647,159.325µm
net359,159.28µm
net704,159.25µm
net1861,159.08µm
net183,158.98µm
net2114,158.94µm
net569,158.91µm
net557,158.83µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[63\],158.74µm
net150,158.64µm
net983,158.59µm
net1820,158.41µm
clknet_leaf_184_u_ibex_top.clk,158.32µm
net1776,158.235µm
net1992,158.2µm
_07135_,158.1µm
net2011,158.02µm
net1585,157.8µm
_08112_,157.54µm
net1610,157.53µm
net1413,157.43µm
net2076,157.08µm
_07544_,157.04µm
net407,156.895µm
net1125,156.7µm
net1910,156.68µm
net1301,156.4µm
net1173,156.37µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_depc_o\[31\],156.3µm
net2144,156.24µm
clknet_leaf_200_u_ibex_top.clk,156.2µm
_06947_,156.19µm
net1180,155.94µm
net802,155.86µm
net1169,155.82µm
_05221_,155.8µm
_07042_,155.76µm
_03356_,155.74µm
net1550,155.71µm
net1904,155.68µm
_03259_,155.665µm
_06709_,155.62µm
net1334,155.43µm
net559,155.4µm
net1245,155.36µm
net949,155.16µm
_07189_,155.12µm
net1470,155.1µm
net918,155.06µm
_09600_,155.02µm
net1894,155µm
net855,154.8µm
net1205,154.8µm
_09592_,154.66µm
_07923_,154.62µm
net41,154.52µm
net90,154.52µm
net1911,154.49µm
net537,154.37µm
_08214_,154.18µm
_08141_,154.15µm
_03333_,154.09µm
clknet_leaf_19_u_ibex_top.clk,154.08µm
_06599_,154.02µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[21\],154.02µm
_06608_,153.94µm
net2025,153.92µm
_04771_,153.88µm
net853,153.8µm
net217,153.75µm
_08756_,153.64µm
_07180_,153.58µm
net1669,153.475µm
net2035,153.46µm
clknet_leaf_201_u_ibex_top.clk,153.325µm
_08307_,153.18µm
_04258_,153.06µm
net1806,153µm
_04719_,152.98µm
net1419,152.97µm
net1131,152.76µm
net1902,152.64µm
net2339,152.54µm
net284,152.38µm
net771,152.34µm
net2060,152.33µm
net356,152.26µm
clknet_leaf_33_u_ibex_top.clk,152.2µm
net277,152.11µm
_04259_,152µm
net2500,151.97µm
_06930_,151.82µm
net1403,151.82µm
net443,151.81µm
net1136,151.62µm
_06359_,151.61µm
net1863,151.505µm
_06487_,151.48µm
_02423_,151.34µm
net1312,151.3µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[22\],151.2µm
_06965_,151.04µm
_07005_,151.02µm
net1095,150.99µm
_08621_,150.77µm
_02343_,150.62µm
_08216_,150.57µm
net2269,150.49µm
_03998_,150.48µm
net899,150.3µm
_06298_,150.14µm
net1788,150.12µm
net1938,150.11µm
net653,150.04µm
net1221,150.04µm
net547,149.84µm
net144,149.78µm
net1694,149.75µm
_06248_,149.4µm
_09409_,149.4µm
_04849_,149.28µm
net1512,149.16µm
_03249_,149.085µm
net1892,149.01µm
net394,149µm
net1251,148.98µm
net1733,148.98µm
_07142_,148.96µm
net2253,148.81µm
net412,148.715µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[20\],148.675µm
net1226,148.66µm
_05612_,148.6µm
net411,148.54µm
net2275,148.54µm
clknet_leaf_45_u_ibex_top.clk,148.52µm
_07303_,148.42µm
_06676_,148.24µm
net2203,148.18µm
_02519_,148.12µm
_07703_,148.1µm
net1829,148.085µm
net2112,148.06µm
net1673,148.05µm
net220,148.02µm
net1236,147.94µm
net1724,147.895µm
_03337_,147.79µm
net1109,147.555µm
net324,147.49µm
_06369_,147.48µm
net1371,147.4µm
net2316,147.37µm
_06418_,147.33µm
net549,147.2µm
_08854_,147.16µm
net302,147.13µm
net1543,147.125µm
net1987,147µm
net2594,146.86µm
net82,146.82µm
_06955_,146.74µm
net826,146.73µm
net717,146.72µm
net1190,146.7µm
net2173,146.68µm
net440,146.67µm
net340,146.65µm
_08306_,146.52µm
_02516_,146.42µm
_06613_,146.42µm
_09598_,146.4µm
net1797,146.4µm
net328,146.36µm
net1362,146.34µm
net1415,146.12µm
