Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_264_1329,VPWR,li1,619.6200,731.6800,1.799986
FILLER_264_1317,VPWR,li1,614.1000,731.6800,1.799984
FILLER_264_1315,VPWR,li1,610.6500,731.6800,1.799982
FILLER_264_1286,VPWR,li1,598.0000,731.6800,1.799978
FILLER_264_1269,VPWR,li1,591.1000,731.6800,1.799976
FILLER_264_1259,VPWR,li1,584.8900,731.6800,1.799974
FILLER_264_1227,VPWR,li1,570.6300,731.6800,1.799973
FILLER_264_1215,VPWR,li1,567.1800,731.6800,1.799973
FILLER_264_1205,VPWR,li1,560.2800,731.6800,1.799973
FILLER_264_1203,VPWR,li1,559.1300,731.6800,1.799973
FILLER_264_1170,VPWR,li1,546.4800,731.6800,1.799975
FILLER_264_1158,VPWR,li1,540.9600,731.6800,1.799975
FILLER_264_1149,VPWR,li1,534.2900,731.6800,1.799977
FILLER_264_1145,VPWR,li1,532.9100,731.6800,1.799977
FILLER_264_1137,VPWR,li1,530.3800,731.6800,1.799978
FILLER_264_1125,VPWR,li1,525.7800,731.6800,1.799979
FILLER_264_1113,VPWR,li1,520.2600,731.6800,1.799980
FILLER_264_1101,VPWR,li1,514.7400,731.6800,1.799981
FILLER_264_1080,VPWR,li1,503.0100,731.6800,1.799984
FILLER_264_1068,VPWR,li1,499.5600,731.6800,1.799985
FILLER_264_1037,VPWR,li1,483.0000,731.6800,1.799990
FILLER_264_1035,VPWR,li1,481.8500,731.6800,1.799990
FILLER_264_1023,VPWR,li1,478.8600,731.6800,1.799989
FILLER_264_993,VPWR,li1,462.9900,731.6800,1.799981
FILLER_264_981,VPWR,li1,457.7000,731.6800,1.799979
FILLER_264_974,VPWR,li1,454.9400,731.6800,1.799978
FILLER_264_941,VPWR,li1,439.3000,731.6800,1.799973
FILLER_264_916,VPWR,li1,428.7200,731.6800,1.799972
FILLER_264_904,VPWR,li1,424.1200,731.6800,1.799971
FILLER_264_892,VPWR,li1,418.6000,731.6800,1.799970
FILLER_264_880,VPWR,li1,413.0800,731.6800,1.799970
FILLER_264_869,VPWR,li1,405.9500,731.6800,1.799969
FILLER_264_841,VPWR,li1,393.7600,731.6800,1.799969
FILLER_264_829,VPWR,li1,389.6200,731.6800,1.799969
FILLER_264_811,VPWR,li1,378.8100,731.6800,1.799970
FILLER_264_790,VPWR,li1,369.8400,731.6800,1.799972
FILLER_264_778,VPWR,li1,366.1600,731.6800,1.799974
FILLER_264_766,VPWR,li1,360.6400,731.6800,1.799975
FILLER_264_755,VPWR,li1,353.0500,731.6800,1.799978
FILLER_264_743,VPWR,li1,350.0600,731.6800,1.799979
FILLER_264_731,VPWR,li1,344.5400,731.6800,1.799982
FILLER_264_684,VPWR,li1,322.0000,731.6800,1.799990
FILLER_264_659,VPWR,li1,309.5800,731.6800,1.799989
FILLER_264_645,VPWR,li1,303.6000,731.6800,1.799990
FILLER_264_643,VPWR,li1,301.5300,731.6800,1.799990
FILLER_264_637,VPWR,li1,299.9200,731.6800,1.799990
FILLER_264_625,VPWR,li1,295.7800,731.6800,1.799990
FILLER_264_613,VPWR,li1,290.2600,731.6800,1.799991
FILLER_264_601,VPWR,li1,284.7400,731.6800,1.799991
