Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_264_1286,VGND,li1,598.0000,728.9600,0.000041
FILLER_264_1269,VGND,li1,591.1000,728.9600,0.000044
FILLER_264_1259,VGND,li1,584.8900,728.9600,0.000047
FILLER_264_1227,VGND,li1,570.6300,728.9600,0.000050
FILLER_264_1215,VGND,li1,567.1800,728.9600,0.000050
FILLER_264_1205,VGND,li1,560.2800,728.9600,0.000050
FILLER_264_1203,VGND,li1,559.1300,728.9600,0.000050
FILLER_264_1170,VGND,li1,546.4800,728.9600,0.000048
FILLER_264_1158,VGND,li1,540.9600,728.9600,0.000046
FILLER_264_1149,VGND,li1,534.2900,728.9600,0.000044
FILLER_264_1145,VGND,li1,532.9100,728.9600,0.000044
FILLER_264_1137,VGND,li1,530.3800,728.9600,0.000042
FILLER_264_1125,VGND,li1,525.7800,728.9600,0.000040
FILLER_264_1113,VGND,li1,520.2600,728.9600,0.000038
FILLER_264_1101,VGND,li1,514.7400,728.9600,0.000035
FILLER_264_1080,VGND,li1,503.0100,728.9600,0.000029
FILLER_264_1068,VGND,li1,499.5600,728.9600,0.000027
FILLER_264_1037,VGND,li1,483.0000,728.9600,0.000019
FILLER_264_1035,VGND,li1,481.8500,728.9600,0.000019
FILLER_264_1023,VGND,li1,478.8600,728.9600,0.000021
FILLER_264_993,VGND,li1,462.9900,728.9600,0.000032
FILLER_264_981,VGND,li1,457.7000,728.9600,0.000036
FILLER_264_974,VGND,li1,454.9400,728.9600,0.000037
FILLER_264_941,VGND,li1,439.3000,728.9600,0.000042
FILLER_264_916,VGND,li1,428.7200,728.9600,0.000044
FILLER_264_904,VGND,li1,424.1200,728.9600,0.000044
FILLER_264_892,VGND,li1,418.6000,728.9600,0.000044
FILLER_264_880,VGND,li1,413.0800,728.9600,0.000044
FILLER_264_869,VGND,li1,405.9500,728.9600,0.000045
FILLER_264_841,VGND,li1,393.7600,728.9600,0.000042
FILLER_264_829,VGND,li1,389.6200,728.9600,0.000042
FILLER_264_811,VGND,li1,378.8100,728.9600,0.000038
FILLER_264_790,VGND,li1,369.8400,728.9600,0.000034
FILLER_264_778,VGND,li1,366.1600,728.9600,0.000031
FILLER_264_766,VGND,li1,360.6400,728.9600,0.000029
